_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5221,0,0,0,0,0,3,9,3,0,13,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,8,15,3,0,36,3,6,19,18,40,55,74,16,3,236
5222,0,0,0,0,3,3,9,7,0,22,0,0,0,0,0,0,0,0,0,0,3,3,5,6,13,4,12,12,3,64,7,12,58,57,92,115,133,51,13,532
5223,0,0,9,3,9,15,47,46,39,163,0,0,0,3,0,0,0,0,0,6,12,19,40,33,46,76,48,42,16,336,76,131,338,386,538,667,468,208,100,2910
5231,0,0,0,0,0,3,3,9,4,23,0,0,0,0,0,0,0,0,0,0,4,5,7,8,13,22,4,6,3,69,44,65,99,134,228,216,122,51,9,971
5232,0,0,0,0,0,3,0,6,0,8,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,4,4,0,0,21,16,42,21,31,91,81,45,16,4,347
5233,0,0,3,0,0,4,9,11,12,44,0,0,0,0,0,0,0,0,0,0,4,4,7,16,14,7,8,8,9,76,44,84,131,156,257,233,168,70,47,1185
5234,0,0,0,0,0,0,6,13,5,30,0,0,0,0,0,0,0,0,0,0,7,7,5,12,13,9,6,5,3,72,46,68,88,160,240,190,121,49,15,979
5235,0,0,0,0,3,6,34,23,7,74,0,0,0,0,0,0,0,0,0,0,8,4,14,14,28,50,36,18,16,191,55,96,150,318,399,450,355,129,35,1983
5236,0,0,3,0,0,0,3,4,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,11,3,0,0,30,12,16,15,33,73,44,37,9,3,244
5237,0,0,0,0,0,3,10,3,0,19,0,0,0,0,0,0,0,0,0,3,0,0,8,7,9,4,0,0,0,28,4,21,28,44,70,50,44,7,5,277
5238,0,0,3,3,24,40,121,88,41,319,0,0,0,0,0,0,0,4,0,6,15,13,34,23,53,89,76,61,37,392,84,144,310,356,545,724,744,357,133,3397
5240,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,3,18,11,15,49,58,82,90,48,22,4,388
5241,0,0,3,7,17,20,37,37,22,130,0,0,0,0,7,0,0,0,0,10,4,7,23,19,24,21,20,26,5,136,39,137,284,279,390,331,236,150,70,1935
5242,0,0,0,0,4,4,16,18,7,39,0,0,0,0,0,0,0,0,0,0,4,6,8,10,7,14,12,11,0,73,42,91,145,187,252,234,197,85,34,1270
5243,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,5,0,4,3,9,16,7,8,0,53,19,48,74,84,144,146,116,46,7,679
5244,3,0,0,3,5,11,29,45,31,135,0,0,0,3,0,0,0,0,0,4,15,41,38,28,45,47,39,29,21,305,116,270,383,538,645,617,454,189,102,3319
