_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5107,..,1194,1194,1632,132,1764,1046,25,1070,1002,6,1003,442,3,444,334,5,338,4457,1358,5812
5108,..,3804,3804,3939,357,4295,2511,62,2572,2067,20,2079,957,5,966,729,0,727,10199,4241,14442
5109,..,1995,1995,2519,175,2694,1249,30,1270,1063,3,1062,467,3,469,286,0,290,5586,2207,7790
5110,..,560,560,859,81,939,527,4,530,501,3,505,243,0,246,150,0,150,2279,656,2933
5111,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5112,..,2663,2663,2021,208,2230,1007,34,1041,835,6,847,397,5,401,300,0,306,4560,2920,7479
5113,..,2281,2281,1938,277,2208,964,42,1007,785,12,800,392,4,395,312,3,316,4388,2618,7006
5114,..,2196,2196,3431,302,3739,2080,37,2122,1940,10,1950,829,0,831,584,0,584,8870,2547,11417
5115,..,760,760,1019,121,1142,648,15,670,582,5,583,257,0,257,157,0,157,2661,904,3571
5116,..,997,997,1176,73,1252,591,3,595,507,0,510,207,0,206,84,0,84,2563,1082,3645
5117,..,104,104,238,4,244,149,4,149,237,0,237,102,0,102,52,0,52,774,111,889
5118,..,1807,1807,2256,139,2390,1021,14,1039,1035,0,1035,431,0,431,176,0,176,4920,1958,6879
5120,..,152,152,168,9,175,121,3,122,117,0,117,57,4,57,29,0,29,490,164,660
5121,..,155,155,220,9,228,85,3,88,72,0,68,34,0,34,35,0,35,443,168,613
5125,..,1436,1436,2319,100,2413,1133,10,1141,1384,0,1384,479,0,479,145,0,145,5452,1547,6996
5126,..,523,523,955,46,1002,472,5,473,464,0,464,156,0,156,49,0,49,2092,572,2664
5127,..,621,621,1015,44,1057,522,3,524,532,0,532,147,0,147,59,0,61,2274,672,2949
