POA_CODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA5201,42,1590,683,260,1706,0.8,1465,2.6
POA5202,42,1500,612,200,1437,0.8,1274,2.5
POA5203,53,1200,484,220,1260,0.7,913,2.3
POA5204,57,1083,489,250,1090,0.7,861,2
POA5210,40,1647,602,290,1443,0.8,1317,2.7
POA5211,56,1300,481,255,1074,0.7,847,2.1
POA5212,59,1200,493,250,1036,0.7,876,2.1
POA5213,47,1430,593,250,1395,0.7,1129,2.3
POA5214,58,1200,473,250,1017,0.7,815,2.1
POA5220,35,972,653,180,1406,0.7,1093,2.1
POA5221,55,867,469,180,974,0.8,782,2.1
POA5222,54,1083,516,185,1090,0.7,920,1.9
POA5223,47,1083,569,165,1259,0.7,983,2.2
POA5231,45,1733,688,290,1907,0.8,1714,2.7
POA5232,47,1500,745,135,2176,0.8,2013,2.8
POA5233,46,1625,597,260,1649,0.8,1415,2.6
POA5234,42,1630,634,273,1738,0.8,1371,2.6
POA5235,47,1300,581,220,1430,0.8,1114,2.3
POA5236,47,1300,497,238,1375,0.8,1125,2.3
POA5237,45,1083,495,193,1208,0.8,890,2.3
POA5238,53,1040,466,190,1022,0.7,810,2.1
POA5240,45,1400,644,250,1670,0.8,1483,2.6
POA5241,41,1408,629,285,1507,0.8,1271,2.6
POA5242,43,1733,705,310,1866,0.8,1541,2.6
POA5243,46,1950,754,300,2008,0.7,1610,2.5
POA5244,42,1541,651,290,1690,0.8,1391,2.6
